age,sex,job,housing,saving_accounts,checking_account,credit_amount,duration,purpose,risk
49,female,2,own,little,unknown,1195,6,business,bad
35,female,2,rent,little,moderate,6648,48,radio/TV,bad
22,male,1,free,moderate,little,5357,24,car,bad
42,male,3,own,little,unknown,1224,9,furniture/equipment,bad
53,male,2,own,little,unknown,4806,24,furniture/equipment,good
19,male,3,own,little,moderate,949,12,vacation/others,bad
34,male,1,own,moderate,little,879,6,furniture/equipment,bad
29,male,2,own,little,little,1462,24,furniture/equipment,good
42,male,1,rent,unknown,little,1018,9,radio/TV,bad
41,male,2,own,quite rich,little,1177,18,radio/TV,good
29,male,2,own,little,little,5400,36,education,bad
25,female,2,own,little,rich,2746,12,car,good
29,male,3,own,little,little,660,12,radio/TV,good
29,male,2,own,unknown,little,5252,24,furniture/equipment,bad
21,male,2,rent,little,moderate,2053,18,furniture/equipment,bad
46,male,2,own,little,moderate,2918,24,radio/TV,good
39,male,2,own,unknown,unknown,322,9,repairs,good
39,male,2,own,rich,little,1433,18,radio/TV,good
35,male,2,own,little,moderate,5095,36,education,bad
38,female,2,own,unknown,unknown,3548,18,furniture/equipment,good
40,male,2,own,quite rich,little,3737,30,car,good
45,male,2,rent,little,little,3122,18,car,bad
38,male,3,own,little,moderate,971,18,domestic appliances,good
59,female,2,own,unknown,unknown,3934,24,radio/TV,good
35,male,1,free,unknown,little,1642,12,business,bad
23,female,0,own,little,moderate,1788,15,business,bad
58,male,1,own,little,unknown,2658,24,furniture/equipment,good
35,male,2,own,unknown,moderate,5071,36,car,bad
19,male,2,own,little,unknown,2006,18,furniture/equipment,bad
46,female,3,own,little,unknown,1323,9,furniture/equipment,good
32,male,1,rent,little,unknown,4789,36,radio/TV,bad
38,male,1,own,unknown,little,4478,36,radio/TV,bad
19,male,2,own,little,unknown,9366,48,furniture/equipment,bad
38,female,2,free,rich,moderate,250,12,radio/TV,good
37,female,2,own,little,little,3932,18,business,bad
55,male,0,own,unknown,unknown,6998,36,car,good
29,male,1,own,quite rich,little,2565,12,car,bad
29,male,2,own,unknown,unknown,1550,18,radio/TV,good
43,male,1,rent,little,unknown,2490,24,furniture/equipment,good
37,male,1,free,little,unknown,4183,24,furniture/equipment,good
39,female,2,own,little,little,3794,18,vacation/others,bad
35,female,2,free,unknown,unknown,2275,30,furniture/equipment,good
33,male,1,own,moderate,moderate,3826,24,car,good
36,female,2,own,little,unknown,4010,24,radio/TV,bad
30,female,2,own,moderate,unknown,2975,24,vacation/others,bad
34,male,2,own,little,little,1796,24,radio/TV,good
25,female,1,own,unknown,unknown,2651,12,furniture/equipment,good
29,male,2,own,little,little,7162,48,radio/TV,bad
29,female,1,own,quite rich,unknown,2192,18,radio/TV,good
38,male,3,own,little,unknown,1146,18,repairs,good
30,male,2,rent,little,little,1559,15,radio/TV,bad
41,female,2,own,little,little,9215,36,business,bad
33,female,2,own,quite rich,little,3206,24,business,good
23,female,2,own,little,unknown,3589,18,vacation/others,bad
30,female,2,free,little,unknown,2749,24,business,bad
29,male,2,own,unknown,unknown,421,6,repairs,good
22,male,2,own,little,moderate,3517,24,vacation/others,bad
42,male,2,own,little,unknown,2148,24,radio/TV,good
24,female,2,free,little,little,2693,15,radio/TV,bad
37,female,2,rent,unknown,unknown,2052,15,car,bad
44,male,2,own,little,little,1310,15,car,bad
26,male,2,own,little,unknown,7661,60,business,bad
32,male,2,own,little,moderate,883,6,car,bad
52,male,2,rent,little,little,2564,42,radio/TV,bad
51,female,3,rent,rich,moderate,5064,24,car,good
41,male,1,own,little,unknown,1437,15,radio/TV,good
32,male,3,free,moderate,little,5594,24,car,bad
56,male,2,free,little,unknown,10199,36,car,bad
29,male,2,free,little,unknown,5005,36,car,bad
43,female,1,rent,little,little,1527,18,business,bad
34,female,2,own,little,unknown,544,6,radio/TV,good
31,male,2,own,little,unknown,5592,24,car,good
34,female,2,own,unknown,little,2220,42,radio/TV,bad
45,male,3,own,little,little,1909,18,radio/TV,bad
29,male,1,own,quite rich,little,2034,6,car,good
48,female,2,own,moderate,unknown,4693,24,car,good
38,male,2,free,little,unknown,4969,24,furniture/equipment,bad
33,male,2,rent,rich,unknown,749,6,furniture/equipment,good
55,male,2,own,little,little,2207,15,furniture/equipment,good
47,male,2,own,little,moderate,5338,24,furniture/equipment,good
36,female,0,own,little,unknown,7198,42,business,bad
45,male,2,own,little,unknown,1746,12,car,bad
21,male,2,own,little,unknown,2136,15,radio/TV,good
28,male,2,free,moderate,unknown,3093,12,business,good
28,male,2,rent,little,unknown,2453,15,furniture/equipment,bad
46,female,3,own,little,little,3337,12,car,bad
41,female,1,own,little,moderate,1184,6,car,good
37,male,2,own,little,little,4571,24,car,bad
28,male,2,free,moderate,rich,6454,48,car,good
48,male,2,own,little,unknown,1741,12,furniture/equipment,bad
37,female,3,own,unknown,moderate,7774,30,car,good
20,male,2,own,little,little,2841,12,business,bad
36,female,2,free,unknown,little,10060,36,business,bad
35,female,2,own,little,little,3772,30,car,good
25,female,2,own,rich,little,351,6,furniture/equipment,bad
26,female,2,free,little,moderate,1423,9,furniture/equipment,bad
36,male,1,rent,little,little,994,12,vacation/others,bad
40,male,1,own,little,moderate,3934,24,vacation/others,bad
41,male,3,own,little,moderate,1022,6,furniture/equipment,bad
35,male,2,rent,little,moderate,1914,18,radio/TV,good
23,male,2,own,little,unknown,4407,24,furniture/equipment,good
63,female,2,own,little,little,8159,36,car,bad
31,male,2,own,quite rich,moderate,1848,6,car,good
49,male,2,own,rich,unknown,561,6,radio/TV,good
51,male,2,own,little,little,1128,18,radio/TV,good
41,female,2,free,moderate,rich,3836,12,car,bad
33,male,2,own,moderate,unknown,1813,24,radio/TV,good
40,female,2,free,little,unknown,2539,24,furniture/equipment,good
30,female,3,own,little,little,9243,36,car,bad
50,male,2,own,little,unknown,1701,15,business,bad
55,female,3,own,little,unknown,895,9,radio/TV,good
34,male,0,rent,little,unknown,612,6,radio/TV,good
22,female,2,own,quite rich,unknown,840,6,car,good
54,female,1,own,little,unknown,2762,18,radio/TV,good
43,male,2,own,little,little,2735,18,furniture/equipment,bad
25,male,2,own,little,rich,3504,24,car,good
36,female,2,own,little,little,4696,48,furniture/equipment,bad
35,female,2,own,rich,moderate,4967,24,furniture/equipment,bad
34,male,1,rent,moderate,unknown,1668,12,radio/TV,bad
19,male,2,own,rich,little,2903,36,furniture/equipment,good
44,female,2,free,little,moderate,1382,18,radio/TV,good
37,male,2,own,little,little,1180,6,radio/TV,good
40,male,2,own,little,moderate,2282,12,furniture/equipment,bad
29,male,2,rent,little,little,2843,12,car,bad
45,male,3,rent,unknown,little,1263,15,furniture/equipment,bad
45,female,2,rent,unknown,little,6173,24,car,bad
32,female,2,own,moderate,unknown,5932,36,education,bad
34,male,2,own,unknown,unknown,4100,24,furniture/equipment,bad
41,female,2,own,little,rich,3394,24,car,good
19,female,2,rent,little,moderate,4869,30,car,bad
55,female,2,own,little,little,2851,24,furniture/equipment,good
30,male,3,own,little,unknown,3807,36,education,good
40,male,2,own,little,moderate,3216,24,radio/TV,good
48,male,3,own,little,little,2562,12,furniture/equipment,bad
40,male,1,rent,unknown,moderate,2975,30,business,good
39,female,2,rent,little,unknown,1155,12,radio/TV,bad
46,male,2,own,little,unknown,1028,9,radio/TV,bad
26,female,1,own,unknown,unknown,8658,36,car,good
40,female,2,own,little,moderate,2344,12,furniture/equipment,good
63,male,2,own,little,little,3214,18,furniture/equipment,bad
31,male,1,own,little,moderate,987,12,radio/TV,bad
32,male,2,own,little,little,1625,18,radio/TV,bad
47,female,2,own,moderate,little,5260,24,furniture/equipment,bad
21,male,2,own,little,unknown,13250,48,car,bad
32,male,1,own,little,unknown,1213,12,car,good
25,female,1,own,little,unknown,1812,6,car,good
25,male,3,rent,little,unknown,992,12,radio/TV,good
46,male,1,own,little,moderate,3000,12,car,bad
33,male,2,own,rich,unknown,3410,18,business,good
32,female,2,own,little,moderate,934,6,radio/TV,good
24,male,1,own,little,unknown,3460,15,car,bad
34,male,1,own,unknown,moderate,659,6,radio/TV,good
49,male,3,own,unknown,moderate,3708,12,business,bad
42,male,2,own,little,rich,1979,12,car,bad
25,male,2,own,unknown,rich,3511,24,furniture/equipment,good
30,female,3,own,little,unknown,1280,18,radio/TV,good
38,female,2,own,unknown,little,10562,36,car,bad
26,male,3,own,unknown,rich,1564,12,furniture/equipment,good
41,male,3,free,little,unknown,1690,6,car,good
42,female,3,own,unknown,moderate,3694,15,car,good
46,female,1,own,little,unknown,912,6,radio/TV,good
39,female,1,rent,rich,unknown,2035,15,car,good
19,male,1,own,little,unknown,3469,18,domestic appliances,good
44,male,1,own,little,little,1500,15,education,bad
19,female,2,own,moderate,little,2768,24,business,bad
39,male,2,rent,rich,rich,2212,15,car,good
32,male,1,rent,little,little,945,6,car,bad
38,male,1,own,little,unknown,4615,36,education,good
46,male,2,own,little,unknown,7514,24,car,good
35,male,1,rent,moderate,little,1700,15,furniture/equipment,bad
42,male,1,rent,little,unknown,4817,36,business,bad
24,male,2,own,moderate,unknown,2324,9,education,bad
33,male,1,own,little,little,2215,12,car,bad
43,male,2,free,little,unknown,4479,48,education,bad
36,female,2,own,little,little,1307,12,education,bad
33,male,3,rent,little,unknown,1788,12,car,bad
35,male,2,rent,little,little,593,6,repairs,bad
40,male,1,own,rich,rich,2173,24,radio/TV,good
27,female,2,own,unknown,unknown,5648,48,radio/TV,bad
19,male,2,own,little,unknown,1281,6,furniture/equipment,bad
21,male,2,free,rich,unknown,1158,18,radio/TV,good
39,female,1,rent,unknown,unknown,600,6,repairs,good
32,male,2,own,little,rich,3509,12,car,bad
31,male,2,own,unknown,unknown,1454,24,radio/TV,good
52,male,3,free,little,unknown,7335,48,furniture/equipment,bad
35,female,2,own,little,unknown,250,6,radio/TV,bad
55,female,2,free,little,moderate,3460,12,car,good
24,female,2,rent,little,moderate,2655,36,radio/TV,bad
49,male,3,own,little,unknown,2794,24,car,good
28,male,2,own,little,little,1467,9,car,bad
42,male,0,rent,unknown,little,2134,12,car,bad
29,female,1,own,unknown,unknown,2389,24,vacation/others,good
42,female,1,rent,little,unknown,2637,24,radio/TV,bad
32,male,2,own,unknown,unknown,6564,24,car,good
40,male,2,own,little,moderate,4050,18,vacation/others,bad
22,male,1,rent,quite rich,moderate,3084,30,radio/TV,good
19,male,2,rent,unknown,little,5046,36,car,bad
49,male,3,own,rich,little,1515,6,car,bad
29,male,2,own,little,unknown,3168,24,furniture/equipment,good
48,male,2,own,little,unknown,3502,12,car,bad
33,male,2,own,unknown,little,4205,24,car,bad
37,male,2,own,little,little,508,6,education,good
44,male,1,own,moderate,unknown,1128,18,radio/TV,good
41,male,3,free,little,little,3255,18,domestic appliances,bad
48,male,0,own,little,moderate,3537,24,repairs,bad
31,male,2,own,quite rich,unknown,468,6,furniture/equipment,good
27,male,2,rent,little,little,1126,12,business,bad
40,female,2,own,little,unknown,2662,18,car,good
47,female,2,own,little,moderate,4141,12,business,bad
60,female,2,own,little,unknown,932,6,furniture/equipment,good
30,male,1,own,little,little,1560,12,furniture/equipment,bad
32,male,1,own,unknown,unknown,2290,12,car,good
34,male,2,rent,rich,moderate,5419,18,business,good
45,male,2,own,little,little,4710,24,business,bad
46,male,2,own,moderate,little,622,6,radio/TV,bad
67,male,3,own,little,little,670,6,radio/TV,bad
58,male,3,own,little,moderate,986,6,furniture/equipment,bad
27,female,2,own,little,unknown,688,9,radio/TV,good
71,male,2,own,little,unknown,1480,24,radio/TV,bad
48,female,2,rent,unknown,unknown,1596,9,furniture/equipment,good
44,male,1,own,rich,unknown,250,6,radio/TV,good
29,male,2,own,unknown,rich,395,6,education,good
33,female,2,own,little,little,5114,24,car,bad
39,female,2,rent,quite rich,unknown,2949,24,car,good
37,female,2,free,quite rich,rich,1467,6,car,good
35,male,1,own,little,little,1317,6,furniture/equipment,bad
37,female,2,rent,little,unknown,994,12,radio/TV,good
28,male,2,own,moderate,unknown,4383,24,car,good
36,male,2,own,unknown,little,10163,36,car,bad
43,female,3,rent,unknown,little,10891,72,car,bad
47,male,1,own,little,unknown,1157,6,car,good
37,female,1,rent,moderate,rich,18424,72,car,bad
39,female,2,own,little,unknown,18424,72,business,bad
25,female,2,own,little,moderate,1662,6,car,good
41,female,2,own,little,unknown,6308,24,car,bad
35,male,2,own,moderate,unknown,1730,12,car,good
34,male,3,own,little,moderate,2411,18,radio/TV,good
45,male,1,rent,unknown,little,1529,6,car,bad
33,female,2,rent,little,moderate,433,9,radio/TV,bad
34,male,1,own,little,unknown,4140,24,car,bad
41,male,1,own,little,unknown,1510,12,radio/TV,bad
37,male,2,own,little,unknown,2673,24,radio/TV,good
57,male,2,own,unknown,little,4381,24,furniture/equipment,good
34,male,2,rent,unknown,unknown,1715,15,furniture/equipment,good
32,male,3,own,little,moderate,1213,6,car,good
37,male,2,own,little,moderate,1397,12,car,bad
49,female,2,free,unknown,rich,490,6,radio/TV,good
27,female,1,own,little,little,9254,36,business,bad
26,female,1,own,little,little,4847,36,furniture/equipment,bad
30,female,1,own,little,rich,863,6,vacation/others,bad
19,male,2,own,unknown,moderate,959,6,furniture/equipment,bad
31,male,1,rent,little,unknown,1852,12,education,bad
36,female,2,own,little,unknown,1849,12,furniture/equipment,bad
45,female,2,free,little,unknown,8978,36,car,bad
29,male,3,own,quite rich,unknown,1972,12,car,good
38,female,1,own,unknown,little,4259,48,radio/TV,bad
26,male,2,own,quite rich,unknown,10822,36,car,good
49,male,2,own,little,little,3515,24,furniture/equipment,bad
45,male,2,own,little,little,2867,24,radio/TV,good
34,female,2,own,unknown,moderate,1345,15,education,good
26,male,1,own,quite rich,little,2907,18,car,good
31,female,3,own,unknown,moderate,2509,18,furniture/equipment,good
29,male,2,rent,little,moderate,1151,6,furniture/equipment,bad
19,female,2,own,rich,unknown,1143,6,furniture/equipment,good
35,male,1,own,little,little,1248,6,car,bad
48,male,3,own,little,moderate,3074,18,car,bad
24,male,2,own,moderate,unknown,1483,30,radio/TV,good
37,male,3,own,little,moderate,3279,12,car,good
49,male,2,rent,unknown,little,3524,12,car,bad
34,female,2,own,little,rich,2173,12,education,good
55,female,2,rent,little,unknown,1206,6,radio/TV,bad
32,male,2,own,little,moderate,1719,36,radio/TV,bad
40,male,0,own,moderate,little,544,12,radio/TV,bad
34,male,2,own,little,little,3618,12,car,bad
34,male,2,own,unknown,moderate,4172,30,car,bad
19,female,3,own,little,moderate,2399,12,business,bad
24,male,2,rent,little,little,250,6,radio/TV,bad
26,female,1,own,little,unknown,2644,12,business,good
24,male,2,own,little,unknown,6995,72,furniture/equipment,good
65,female,2,own,little,unknown,1249,12,education,good
26,female,1,free,moderate,unknown,3154,12,car,bad
55,male,3,own,unknown,moderate,3842,18,car,good
38,female,2,own,little,unknown,1216,6,car,good
25,male,3,own,little,little,1053,6,radio/TV,bad
21,female,1,free,little,rich,1415,12,furniture/equipment,good
39,male,2,own,unknown,unknown,975,6,car,good
42,male,2,own,little,unknown,1087,6,education,good
26,female,2,own,little,unknown,1675,6,car,good
21,female,2,own,little,rich,1154,6,furniture/equipment,bad
50,male,3,own,little,unknown,1666,12,vacation/others,good
48,male,2,own,moderate,little,7626,36,car,bad
31,male,1,own,little,moderate,5918,48,car,bad
22,male,2,own,little,little,3279,30,car,bad
54,male,2,own,moderate,unknown,4873,24,car,good
25,female,2,own,unknown,little,2570,12,education,bad
29,male,3,own,little,rich,1138,18,repairs,good
20,female,2,own,little,little,2402,12,business,bad
52,female,3,own,unknown,little,1610,12,furniture/equipment,bad
37,male,2,own,little,rich,6651,30,car,bad
60,male,3,own,little,little,4972,42,radio/TV,bad
37,female,1,own,moderate,unknown,10838,36,car,bad
33,female,1,own,little,rich,5540,48,business,good
30,male,2,own,little,moderate,6381,36,car,bad
38,male,1,rent,unknown,rich,4919,24,furniture/equipment,good
23,male,3,own,moderate,little,4738,18,car,bad
30,male,2,own,little,little,856,12,radio/TV,bad
56,male,2,own,little,little,3265,18,radio/TV,bad
30,male,1,own,little,unknown,306,6,radio/TV,good
46,male,2,free,moderate,unknown,250,6,radio/TV,good
53,male,2,own,little,moderate,1086,12,radio/TV,bad
33,male,2,own,little,moderate,7247,24,business,bad
40,female,2,own,little,moderate,3031,24,vacation/others,good
50,female,2,rent,little,unknown,2100,18,radio/TV,bad
29,male,2,own,little,unknown,2435,15,business,bad
42,male,2,own,little,rich,2898,12,car,good
25,male,2,own,rich,unknown,2675,12,car,good
42,male,0,own,little,unknown,915,15,radio/TV,good
37,male,2,own,unknown,little,2735,18,radio/TV,bad
27,female,3,own,little,little,1368,18,radio/TV,bad
49,male,1,own,little,little,3969,24,education,bad
50,female,1,own,unknown,moderate,18288,72,car,bad
61,female,1,own,unknown,little,3091,24,radio/TV,bad
43,male,1,free,moderate,unknown,6413,48,education,bad
59,male,2,own,little,moderate,1285,12,education,bad
31,male,2,free,little,unknown,2141,12,business,bad
44,male,1,own,little,unknown,2962,24,business,good
31,female,2,own,little,unknown,4347,36,car,good
47,male,2,rent,unknown,unknown,2673,12,education,bad
37,male,2,own,unknown,moderate,2832,24,radio/TV,good
49,male,2,rent,quite rich,little,9329,36,car,bad
26,male,3,own,unknown,unknown,2879,12,car,good
38,male,0,own,unknown,moderate,4610,36,furniture/equipment,bad
21,male,3,own,little,unknown,1896,9,car,good
44,male,2,own,quite rich,moderate,567,6,education,good
38,male,0,free,unknown,unknown,667,6,radio/TV,good
50,male,2,rent,little,little,1921,12,vacation/others,bad
38,female,3,own,rich,moderate,1805,12,vacation/others,good
42,female,1,own,little,little,1936,30,furniture/equipment,bad
20,male,2,own,little,rich,4813,36,education,bad
40,male,3,own,little,moderate,1960,24,education,bad
41,female,1,rent,little,little,1690,36,repairs,bad
26,female,3,free,unknown,unknown,969,12,radio/TV,bad
26,female,1,own,little,unknown,1189,6,car,good
31,male,2,free,unknown,moderate,419,6,radio/TV,bad
49,female,2,rent,little,unknown,1127,12,radio/TV,good
29,male,1,own,unknown,moderate,2477,24,radio/TV,good
50,male,2,own,little,unknown,1640,24,radio/TV,bad
35,male,2,own,little,little,2442,12,education,bad
23,female,1,rent,little,unknown,6053,36,car,bad
22,female,2,free,quite rich,rich,6672,36,business,bad
43,female,2,own,little,unknown,3488,12,car,good
29,female,3,own,quite rich,unknown,4582,24,car,good
46,male,2,own,quite rich,rich,1101,9,radio/TV,good
31,female,2,own,unknown,moderate,400,9,car,bad
42,female,2,own,unknown,rich,4092,24,radio/TV,good
39,male,2,own,unknown,little,3341,15,education,bad
40,female,1,rent,unknown,little,2137,24,furniture/equipment,bad
35,male,2,own,unknown,unknown,1304,6,furniture/equipment,bad
39,male,2,own,moderate,little,7767,42,furniture/equipment,bad
37,male,2,own,moderate,moderate,3485,30,car,bad
19,male,2,own,little,rich,855,6,furniture/equipment,bad
35,female,0,own,quite rich,moderate,1338,12,radio/TV,good
26,male,1,rent,little,little,1230,6,furniture/equipment,bad
63,male,2,rent,little,moderate,558,12,radio/TV,bad
54,male,1,rent,unknown,unknown,4889,24,business,good
37,female,2,own,unknown,little,1687,12,furniture/equipment,good
28,male,2,own,little,unknown,6621,42,furniture/equipment,bad
26,male,2,own,unknown,unknown,2695,9,business,good
30,male,2,own,quite rich,moderate,1001,15,radio/TV,good
50,male,1,own,rich,moderate,1199,6,car,good
25,male,2,own,unknown,unknown,1864,12,domestic appliances,good
22,female,3,own,rich,unknown,6755,60,radio/TV,good
48,female,2,rent,little,unknown,1489,18,radio/TV,good
29,male,1,own,little,little,3298,36,furniture/equipment,bad
47,male,2,own,little,moderate,2203,12,radio/TV,bad
22,male,3,rent,little,unknown,10942,48,business,bad
41,female,2,own,little,moderate,1669,6,business,bad
46,male,2,rent,little,little,384,9,radio/TV,bad
58,female,2,free,little,little,606,6,business,bad
66,male,1,own,little,unknown,572,6,radio/TV,bad
48,female,3,own,little,moderate,6554,48,furniture/equipment,bad
36,male,3,own,little,moderate,383,6,radio/TV,good
44,male,2,own,little,unknown,591,6,domestic appliances,good
58,male,1,free,little,little,5557,72,radio/TV,bad
23,male,2,own,unknown,unknown,3690,24,furniture/equipment,good
52,male,2,rent,little,moderate,3651,24,furniture/equipment,bad
37,female,2,own,little,little,5889,48,radio/TV,bad
34,male,2,rent,little,unknown,3571,36,furniture/equipment,good
38,female,2,own,unknown,unknown,1566,12,furniture/equipment,bad
29,male,2,own,little,moderate,1350,12,education,bad
30,female,2,own,quite rich,unknown,1763,24,radio/TV,good
49,male,2,own,little,little,250,6,repairs,bad
29,male,2,own,little,moderate,1539,12,furniture/equipment,bad
36,female,3,rent,little,unknown,1331,12,education,good
42,female,2,rent,little,moderate,4363,36,car,bad
60,male,2,own,little,rich,1188,6,business,good
39,male,1,own,little,little,4803,24,furniture/equipment,bad
30,male,2,rent,little,unknown,821,6,furniture/equipment,bad
19,male,1,own,rich,little,3975,24,radio/TV,good
28,male,1,own,little,little,2030,18,radio/TV,bad
26,male,2,own,moderate,moderate,757,6,vacation/others,good
27,female,3,free,little,unknown,17473,60,car,bad
25,male,2,rent,quite rich,moderate,1211,24,radio/TV,good
50,male,3,own,little,moderate,1775,12,car,good
37,male,2,rent,unknown,moderate,1429,12,furniture/equipment,good
41,female,2,own,little,little,7043,36,business,bad
48,male,1,rent,little,little,743,6,radio/TV,bad
49,male,2,own,little,little,3944,24,car,bad
38,male,1,own,unknown,unknown,6281,24,car,good
24,male,2,rent,little,unknown,717,6,education,bad
39,female,1,own,quite rich,moderate,1161,6,business,good
26,female,2,own,little,unknown,2081,12,education,bad
42,female,1,own,unknown,little,804,12,repairs,bad
39,male,1,own,little,unknown,250,6,radio/TV,good
23,female,2,own,little,unknown,4505,15,car,good
43,female,3,own,moderate,unknown,4765,24,vacation/others,good
39,male,2,own,little,unknown,1100,6,business,good
26,male,2,own,quite rich,little,2122,12,furniture/equipment,good
44,male,1,own,unknown,little,6960,36,car,good
44,male,3,free,little,moderate,334,6,radio/TV,good
37,male,2,own,unknown,unknown,2651,15,education,good
41,female,2,own,little,unknown,1368,15,radio/TV,good
25,female,2,rent,little,unknown,1612,6,car,bad
52,male,2,own,little,little,250,6,repairs,bad
27,male,2,own,little,unknown,2060,18,furniture/equipment,bad
28,male,2,own,little,unknown,3285,24,car,good
42,male,2,own,unknown,unknown,1741,9,furniture/equipment,good
32,female,2,free,little,unknown,4321,24,car,good
27,male,1,own,unknown,unknown,2718,24,furniture/equipment,good
43,male,3,own,moderate,little,4454,36,car,bad
27,male,3,own,quite rich,unknown,327,12,radio/TV,good
33,female,2,own,little,unknown,1874,18,car,good
52,male,2,rent,unknown,moderate,7276,36,domestic appliances,bad
36,female,2,rent,little,unknown,1253,6,business,bad
43,male,0,free,little,little,1545,30,radio/TV,bad
24,male,2,own,moderate,moderate,1672,6,car,good
40,male,3,own,little,unknown,1890,18,radio/TV,good
32,male,2,own,little,moderate,1373,6,business,bad
42,male,2,rent,little,unknown,4122,36,radio/TV,bad
42,male,1,own,quite rich,little,2372,12,furniture/equipment,good
73,male,2,rent,unknown,moderate,3339,24,furniture/equipment,bad
40,male,2,free,little,little,1060,12,furniture/equipment,good
52,male,2,own,little,unknown,1143,18,radio/TV,good
42,male,3,own,unknown,moderate,1125,6,car,bad
45,male,3,free,little,unknown,8904,60,car,bad
19,male,1,own,unknown,unknown,2151,12,car,good
49,male,1,own,little,moderate,1608,12,business,good
49,female,1,own,little,unknown,1291,6,domestic appliances,bad
28,female,2,own,unknown,little,1561,15,education,good
75,male,1,own,moderate,little,1245,6,car,bad
28,male,1,own,unknown,little,1757,6,car,good
28,female,3,own,little,little,3290,24,car,good
21,male,2,own,little,moderate,1617,30,radio/TV,bad
38,male,1,rent,quite rich,little,10979,60,furniture/equipment,bad
51,male,3,own,little,moderate,10869,36,car,bad
30,male,2,rent,moderate,little,1084,6,car,bad
35,male,2,own,moderate,unknown,853,6,radio/TV,good
28,male,3,own,little,rich,2044,9,car,good
34,female,2,own,little,unknown,2703,12,furniture/equipment,good
32,female,3,own,little,unknown,3492,24,education,good
24,male,2,own,rich,moderate,10763,42,car,bad
34,male,1,own,little,rich,623,6,furniture/equipment,good
20,male,2,own,quite rich,little,2717,24,radio/TV,good
35,male,1,own,unknown,rich,5173,18,car,good
33,male,2,free,moderate,little,1743,18,furniture/equipment,bad
43,male,2,own,little,unknown,8229,36,business,bad
40,male,2,own,moderate,rich,2558,12,car,good
43,female,2,own,little,moderate,4085,36,business,good
32,male,2,own,unknown,little,1848,12,furniture/equipment,good
24,female,2,free,little,little,1786,24,radio/TV,bad
26,female,3,rent,little,unknown,2821,18,car,bad
36,female,1,own,little,unknown,9473,72,furniture/equipment,bad
45,female,1,own,little,little,1964,12,furniture/equipment,bad
37,male,1,free,rich,unknown,8700,42,car,bad
34,male,1,own,little,unknown,701,12,radio/TV,good
32,male,2,own,little,unknown,1662,24,radio/TV,bad
40,male,0,own,rich,unknown,6866,24,business,good
28,male,2,rent,quite rich,unknown,306,9,radio/TV,good
34,male,2,own,unknown,rich,6941,36,business,good
36,male,2,free,little,moderate,1884,12,radio/TV,bad
28,male,0,rent,quite rich,moderate,836,18,radio/TV,good
37,female,2,own,little,rich,920,12,radio/TV,good
29,female,3,rent,little,unknown,3301,24,furniture/equipment,bad
36,male,3,rent,little,little,1805,18,radio/TV,bad
39,male,1,own,little,unknown,662,6,education,good
75,male,2,own,quite rich,little,825,6,furniture/equipment,good
23,male,2,own,little,unknown,2447,18,car,good
44,female,2,own,unknown,little,4378,36,furniture/equipment,bad
21,male,2,own,little,little,5503,24,education,bad
23,male,2,own,little,moderate,4458,18,car,bad
